,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,smoothing_end_date,closed,week_programm_demand,year_programm_demand,year_week_programm_demand,year_week_end_date
22,56338,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3772548,IS0028165M,107B-800VU-COA-40,YP04,1,2021-07-01,2021-07-08,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,2021-07-14,20.71,4.0,prod,0.0,2,2021-07-08,,,,True,27,2021,2021-W27,2021-W27
23,56339,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3772543,IS0015730M,107B-DE-820-40,YP04,1,2021-06-08,2021-07-16,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,2021-07-14,765.12,22.0,prod,0.0,1,2021-07-16,,,,True,28,2021,2021-W28,2021-W28
24,56340,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3772509,IS0015667M,107A-DE-820-40,YP04,1,2021-06-16,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702012,2021-08-13,765.12,22.0,prod,1.0,1,2021-08-20,,,,True,33,2021,2021-W33,2021-W33
25,56341,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3772547,IS0028108M,107A-800VU-COA-40,YP04,1,2021-08-17,2021-08-22,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702012,2021-10-11,20.71,4.0,prod,0.0,2,2021-08-22,,,,True,33,2021,2021-W33,2021-W33
26,56342,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3806010,IS0015730M,107B-DE-820-40,YP04,1,2021-08-23,2021-09-14,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702009,2021-09-13,765.12,22.0,prod,0.0,1,2021-09-14,,,,True,37,2021,2021-W37,2021-W37
27,56343,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3801724,IS0015730M,107B-DE-820-40,YP04,1,2021-08-12,2021-09-17,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702010,2021-09-02,765.12,22.0,prod,0.0,1,2021-09-17,,,,True,37,2021,2021-W37,2021-W37
28,56344,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3801687,IS0028165M,107B-800VU-COA-40,YP04,1,2021-09-13,2021-09-17,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702010,2021-09-02,20.71,4.0,prod,0.0,2,2021-09-17,,,,True,37,2021,2021-W37,2021-W37
29,56345,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3806023,IS0028165M,107B-800VU-COA-40,YP04,1,2021-09-14,2021-09-22,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702009,2021-09-13,20.71,4.0,prod,0.0,2,2021-09-22,,,,True,38,2021,2021-W38,2021-W38
30,56346,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3826592,IS0028165M,107B-800VU-COA-40,YP04,1,2021-10-13,2021-10-13,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702014,2021-10-15,20.71,4.0,prod,0.0,2,2021-10-13,,,,True,41,2021,2021-W41,2021-W41
31,56347,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3823658,IS0028165M,107B-800VU-COA-40,YP04,1,2021-10-09,2021-10-13,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702013,2021-09-27,20.71,4.0,prod,0.0,2,2021-10-13,,,,True,41,2021,2021-W41,2021-W41
32,56348,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3816047,IS0015730M,107B-DE-820-40,YP04,1,2021-09-07,2021-10-13,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702013,2021-09-27,765.12,22.0,prod,0.0,1,2021-10-13,,,,True,41,2021,2021-W41,2021-W41
33,56349,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3823653,IS0015730M,107B-DE-820-40,YP04,1,2021-09-24,2021-10-13,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702014,2021-10-15,765.12,22.0,prod,0.0,1,2021-10-13,,,,True,41,2021,2021-W41,2021-W41
34,56350,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3843317,IS0028108M,107A-800VU-COA-40,YP04,1,2021-11-03,2021-11-08,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702015,2021-11-08,20.71,4.0,prod,0.0,2,2021-11-08,,,,True,45,2021,2021-W45,2021-W45
35,56351,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3851808,IS0014648M,177A-915LR,YP04,1,2021-11-04,2021-11-08,None,,,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702010,2021-11-04,123.493315543289,18.0,prod,0.0,3,2021-11-08,,,,True,45,2021,2021-W45,2021-W45
36,56352,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3826588,IS0015667M,107A-DE-820-40,YP04,1,2021-10-07,2021-11-15,None,,,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702015,2021-11-08,765.12,22.0,prod,1.0,1,2021-11-15,,,,True,46,2021,2021-W46,2021-W46
37,56353,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3852132,IS0014648M,177A-915LR,YP04,1,2021-11-11,2021-11-22,None,,,TCLO IPRP CONF LIVR CCRP ARCO MMEf RIMP,A117702009,2021-11-15,123.493315543289,18.0,prod,0.0,3,2021-11-22,,,,True,47,2021,2021-W47,2021-W47
38,56354,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3842175,IS0015730M,107B-DE-820-40,YP04,1,2021-11-04,2021-11-29,None,,,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702016,2021-11-25,765.12,22.0,prod,0.0,1,2021-11-29,,,,True,48,2021,2021-W48,2021-W48
39,56355,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3851893,IS0028165M,107B-800VU-COA-40,YP04,1,2021-11-11,2021-11-29,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702016,2021-11-25,20.71,4.0,prod,0.0,2,2021-11-29,,,,True,48,2021,2021-W48,2021-W48
40,56356,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3855092,IS0014648M,177A-915LR,YP04,1,2021-11-29,2021-11-30,None,,,TCLO IPRP CONF LIVR CCRP ARCO MMEf RIMP,A117702013,2021-11-29,123.493315543289,18.0,prod,0.0,3,2021-11-30,,,,True,48,2021,2021-W48,2021-W48
41,56357,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3854893,IS0015730M,107B-DE-820-40,YP04,1,2021-12-02,2021-12-27,None,,,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702017,2021-12-14,765.12,22.0,prod,0.0,1,2021-12-27,,,,True,52,2021,2021-W52,2021-W52
42,56358,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3858770,IS0028165M,107B-800VU-COA-40,YP04,1,2021-11-18,2021-12-27,None,,,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702017,2021-12-14,20.71,4.0,prod,0.0,2,2021-12-27,,,,True,52,2021,2021-W52,2021-W52
43,56359,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3862648,IS0014648M,177A-915LR,YP04,1,2021-12-22,2022-01-03,None,,,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702014,2021-12-28,123.493315543289,18.0,prod,0.0,3,2022-01-03,,,,True,1,2022,2022-W1,2022-W1
44,56360,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,177,3870136,IS0014648M,177A-915LR,YP04,1,2021-12-30,2022-01-03,None,,,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702015,2021-12-30,123.493315543289,18.0,prod,0.0,3,2022-01-03,,,,True,1,2022,2022-W1,2022-W1
45,56361,2022-09-21 07:52:52.406696,2022-09-21 07:52:52.414702,Marwa,Marwa,False,,2022-09-21 07:52:52.414702,2022-09-21 07:52:52.414702,,2110,107,3862460,IS0015730M,107B-DE-820-40,YP04,1,2021-12-24,2022-01-07,None,,,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702018,2022-01-11,765.12,22.0,prod,0.0,1,2022-01-07,,,,True,1,2022,2022-W1,2022-W1
