,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
33,1048176,2023-01-11 10:38:00.420627,2023-01-11 10:38:00.420627,Marwa,Marwa,False,,2023-01-11 10:38:00.420627,2023-01-11 10:38:00.420627,Marwa,15,105,2023-02-10,1,10.72,4456,officiel,25,4,143
34,1048177,2023-01-11 10:38:00.420627,2023-01-11 10:38:00.420627,Marwa,Marwa,False,,2023-01-11 10:38:00.420627,2023-01-11 10:38:00.420627,Marwa,15,105,2023-02-20,1,10.72,4457,officiel,25,4,143
35,1048178,2023-01-11 10:38:00.440924,2023-01-11 10:38:00.440924,Marwa,Marwa,False,,2023-01-11 10:38:00.440924,2023-01-11 10:38:00.440924,Marwa,15,105,2023-02-21,1,10.72,4458,officiel,25,4,143
36,1048179,2023-01-11 10:38:00.450751,2023-01-11 10:38:00.450751,Marwa,Marwa,False,,2023-01-11 10:38:00.450751,2023-01-11 10:38:00.450751,Marwa,15,105,2023-02-22,1,10.72,4459,officiel,25,4,143
37,1048180,2023-01-11 10:38:00.460729,2023-01-11 10:38:00.460729,Marwa,Marwa,False,,2023-01-11 10:38:00.460729,2023-01-11 10:38:00.460729,Marwa,15,105,2023-02-23,1,10.72,4460,officiel,25,4,143
38,1048181,2023-01-11 10:38:00.470551,2023-01-11 10:38:00.470551,Marwa,Marwa,False,,2023-01-11 10:38:00.470551,2023-01-11 10:38:00.470551,Marwa,15,105,2023-02-24,1,10.72,4461,officiel,25,4,143
39,1048182,2023-01-11 10:38:00.475804,2023-01-11 10:38:00.475804,Marwa,Marwa,False,,2023-01-11 10:38:00.475804,2023-01-11 10:38:00.475804,Marwa,15,105,2023-02-27,1,10.72,4464,officiel,25,4,143
40,1048183,2023-01-11 10:38:00.480893,2023-01-11 10:38:00.480893,Marwa,Marwa,False,,2023-01-11 10:38:00.480893,2023-01-11 10:38:00.480893,Marwa,15,105,2023-02-28,1,10.72,4465,officiel,25,4,143
41,1048184,2023-01-11 10:38:00.500843,2023-01-11 10:38:00.500843,Marwa,Marwa,False,,2023-01-11 10:38:00.500843,2023-01-11 10:38:00.500843,Marwa,15,105,2023-03-01,1,10.72,4466,officiel,25,4,143
42,1048185,2023-01-11 10:38:00.510569,2023-01-11 10:38:00.510569,Marwa,Marwa,False,,2023-01-11 10:38:00.510569,2023-01-11 10:38:00.510569,Marwa,15,105,2023-03-02,1,10.72,4467,officiel,25,4,143
43,1048186,2023-01-11 10:38:00.520743,2023-01-11 10:38:00.520743,Marwa,Marwa,False,,2023-01-11 10:38:00.520743,2023-01-11 10:38:00.520743,Marwa,15,105,2023-03-03,1,10.72,4468,officiel,25,4,143
