,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
20,,2110,107,980941385,IS0015730M,107B-DE-820-40,KD,1,13/04/2023,04/05/2023,None,,nan,None,A210702057,,765.12,22.0,prod,0.0,1,2023-05-04,,,False,not_freezed,21101071NaT,
21,,2110,107,980839378,IS0015730M,107B-DE-820-40,KD,1,19/05/2023,06/06/2023,None,,nan,None,A210702058,,765.12,22.0,prod,0.0,1,2023-06-06,,,False,not_freezed,21101071NaT,
22,,2110,107,982024907,IS0015730M,107B-DE-820-40,KD,1,24/05/2023,09/06/2023,None,,nan,None,A210702059,,765.12,22.0,prod,0.0,1,2023-06-09,,,False,not_freezed,21101071NaT,
23,,2110,107,981575174,IS0015667M,107A-DE-820-40,KD,1,01/06/2023,19/06/2023,None,,nan,None,A110702060,,765.12,22.0,prod,1.0,1,2023-06-19,,,False,not_freezed,21101071NaT,
24,,2110,107,981136437,IS0015730M,107B-DE-820-40,KD,1,09/06/2023,27/06/2023,None,,nan,None,A210702061,,765.12,22.0,prod,0.0,1,2023-06-27,,,False,not_freezed,21101071NaT,
25,,2110,107,981265080,IS0015730M,107B-DE-820-40,KD,1,19/06/2023,10/07/2023,None,,nan,None,A210702062,,765.12,22.0,prod,0.0,1,2023-07-10,,,False,not_freezed,21101071NaT,
26,,2110,107,981298339,IS0015730M,107B-DE-820-40,KD,1,03/07/2023,20/07/2023,None,,nan,None,A210702063,,765.12,22.0,prod,0.0,1,2023-07-20,,,False,not_freezed,21101071NaT,
27,,2110,107,981498429,IS0015730M,107B-DE-820-40,KD,1,12/07/2023,21/08/2023,None,,nan,None,A210702064,,765.12,22.0,prod,0.0,1,2023-08-21,,,False,not_freezed,21101071NaT,
28,,2110,107,981664638,IS0015730M,107B-DE-820-40,KD,1,15/08/2023,31/08/2023,None,,nan,None,A210702065,,765.12,22.0,prod,0.0,1,2023-08-31,,,False,not_freezed,21101071NaT,
29,,2110,107,981879895,IS0015730M,107B-DE-820-40,KD,1,25/08/2023,12/09/2023,None,,nan,None,A210702066,,765.12,22.0,prod,0.0,1,2023-09-12,,,False,not_freezed,21101071NaT,
