,index,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
73,106,,2110,107,6051626,IS0028165M,107B-800VU-COA-40,YP04,1,23/05/2022,30/05/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702028,31/05/2022,20.71,4.0,prod,0.0,2,2022-05-30,,,True,not_freezed,21101072NaT,
74,29,,2110,107,6051617,IS0015730M,107B-DE-820-40,YP04,1,20/05/2022,30/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702028,31/05/2022,765.12,22.0,prod,0.0,1,2022-05-30,,,True,not_freezed,21101071NaT,
75,169,,2110,177,6065467,IS0014648M,177A-915LR,YP04,1,03/06/2022,07/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702026,07/06/2022,123.493315543289,18.0,prod,0.0,3,2022-06-07,,,True,not_freezed,21101773NaT,
76,30,,2110,107,6058306,IS0015667M,107A-DE-820-40,YP04,1,30/05/2022,13/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702030,10/06/2022,765.12,22.0,prod,1.0,1,2022-06-13,,,True,not_freezed,21101071NaT,
77,107,,2110,107,6065478,IS0028108M,107A-800VU-COA-40,YP04,1,02/06/2022,13/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702030,10/06/2022,20.71,4.0,prod,0.0,2,2022-06-13,,,True,not_freezed,21101072NaT,
78,170,,2110,177,6077092,IS0014648M,177A-915LR,YP04,1,20/06/2022,21/06/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP MMEf RIMP,A117702028,21/06/2022,123.493315543289,18.0,prod,0.0,3,2022-06-21,,,True,not_freezed,21101773NaT,
79,108,,2110,107,6071708,IS0028165M,107B-800VU-COA-40,YP04,1,14/06/2022,22/06/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702029,23/06/2022,20.71,4.0,prod,0.0,2,2022-06-22,,,True,not_freezed,21101072NaT,
80,31,,2110,107,6065469,IS0015730M,107B-DE-820-40,YP04,1,13/06/2022,27/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702029,23/06/2022,765.12,22.0,prod,0.0,1,2022-06-27,,,True,not_freezed,21101071NaT,
81,109,,2110,107,6080753,IS0028165M,107B-800VU-COA-40,YP04,1,24/06/2022,06/07/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702031,01/07/2022,20.71,4.0,prod,0.0,2,2022-07-06,,,True,not_freezed,21101072NaT,
82,32,,2110,107,6071694,IS0015730M,107B-DE-820-40,YP04,1,27/06/2022,06/07/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702031,01/07/2022,765.12,22.0,prod,0.0,1,2022-07-06,,,True,not_freezed,21101071NaT,
83,110,,2110,107,6084054,IS0028165M,107B-800VU-COA-40,YP04,1,06/07/2022,18/07/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702032,14/07/2022,20.71,4.0,prod,0.0,2,2022-07-18,,,True,not_freezed,21101072NaT,
84,33,,2110,107,6084046,IS0015730M,107B-DE-820-40,YP04,1,04/07/2022,18/07/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702032,14/07/2022,765.12,22.0,prod,0.0,1,2022-07-18,,,True,not_freezed,21101071NaT,
85,171,,2110,177,6084041,IS0014648M,177A-915LR,YP04,1,08/08/2022,10/08/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP MMEf RIMP,A117702030,09/08/2022,123.493315543289,18.0,prod,0.0,3,2022-08-10,,,True,not_freezed,21101773NaT,
86,111,,2110,107,6098323,IS0028165M,107B-800VU-COA-40,YP04,1,09/08/2022,10/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702033,09/08/2022,20.71,4.0,prod,0.0,2,2022-08-10,,,True,not_freezed,21101072NaT,
87,34,,2110,107,6085608,IS0015730M,107B-DE-820-40,YP04,1,15/07/2022,10/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702033,09/08/2022,765.12,22.0,prod,0.0,1,2022-08-10,,,True,not_freezed,21101071NaT,
88,172,,2110,177,6087845,IS0014648M,177A-915LR,YP04,1,22/08/2022,24/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702029,24/08/2022,123.493315543289,18.0,prod,0.0,3,2022-08-24,,,True,not_freezed,21101773NaT,
89,112,,2110,107,6098324,IS0028165M,107B-800VU-COA-40,YP04,1,15/08/2022,30/08/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702034,22/08/2022,20.71,4.0,prod,0.0,2,2022-08-30,,,True,not_freezed,21101072NaT,
90,35,,2110,107,6098313,IS0015730M,107B-DE-820-40,YP04,1,08/08/2022,30/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702034,22/08/2022,765.12,22.0,prod,0.0,1,2022-08-30,,,True,not_freezed,21101071NaT,
91,113,,2110,107,6103120,IS0028165M,107B-800VU-COA-40,YP04,1,09/08/2022,05/09/2022,None,,nan,LANC IMPR CNFP LIVR CCRP ERCT ARCO MMEf*,A210702035,02/09/2022,20.71,4.0,prod,0.0,2,2022-09-05,,,True,not_freezed,21101072NaT,
92,36,,2110,107,6102704,IS0015730M,107B-DE-820-40,YP04,1,23/08/2022,05/09/2022,None,,nan,LANC ARTM IMPR CNFP LIVR CCRP ERCT MMEf*,A210702035,02/09/2022,765.12,22.0,prod,0.0,1,2022-09-05,,,True,not_freezed,21101071NaT,
