,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,material,plan_date,element,data_element_planif,message,needs,qte_available,date_reordo,supplier,customer,product_id,planning_approval_id,element_stock_stkcli,plan_date_week,plan_date_month,plan_date_year,plan_date_year_week,plan_date_year_month
82,236446,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511247,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
85,236449,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511248,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
88,236452,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511250,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
91,236455,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511252,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
94,236458,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511253,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
97,236461,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511257,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
100,236464,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511258,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
103,236467,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511260,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
106,236470,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511261,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
109,236473,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511262,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
