,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id,shared,work_day_week,work_day_month,work_day_year,work_year_week,work_year_month
35,2119428,2023-01-06 14:37:07.897364,2023-01-06 14:37:07.897364,Marwa,Marwa,False,,2023-01-06 14:37:07.897364,2023-01-06 14:37:07.897364,Marwa,15,105,2023-02-20,1,10.72,4457,officiel,25,19,170,False,8,2,2023,2023-W8,2023-M2
36,2119429,2023-01-06 14:37:07.922182,2023-01-06 14:37:07.922182,Marwa,Marwa,False,,2023-01-06 14:37:07.922182,2023-01-06 14:37:07.922182,Marwa,15,105,2023-02-21,1,10.72,4458,officiel,25,19,170,False,8,2,2023,2023-W8,2023-M2
37,2119430,2023-01-06 14:37:07.947219,2023-01-06 14:37:07.947219,Marwa,Marwa,False,,2023-01-06 14:37:07.947219,2023-01-06 14:37:07.947219,Marwa,15,105,2023-02-22,1,10.72,4459,officiel,25,19,170,False,8,2,2023,2023-W8,2023-M2
38,2119431,2023-01-06 14:37:07.977130,2023-01-06 14:37:07.977130,Marwa,Marwa,False,,2023-01-06 14:37:07.977130,2023-01-06 14:37:07.977130,Marwa,15,105,2023-02-23,1,10.72,4460,officiel,25,19,170,False,8,2,2023,2023-W8,2023-M2
39,2119432,2023-01-06 14:37:07.997404,2023-01-06 14:37:07.997404,Marwa,Marwa,False,,2023-01-06 14:37:07.997404,2023-01-06 14:37:07.997404,Marwa,15,105,2023-02-24,1,10.72,4461,officiel,25,19,170,False,8,2,2023,2023-W8,2023-M2
40,2119433,2023-01-06 14:38:10.977308,2023-01-06 14:38:10.977308,Marwa,Marwa,False,,2023-01-06 14:38:10.977308,2023-01-06 14:38:10.977308,Marwa,15,105,2023-02-27,1,10.72,4464,officiel,25,19,170,False,9,2,2023,2023-W9,2023-M2
41,2119434,2023-01-06 14:38:11.081925,2023-01-06 14:38:11.081925,Marwa,Marwa,False,,2023-01-06 14:38:11.081925,2023-01-06 14:38:11.081925,Marwa,15,105,2023-02-28,1,10.72,4465,officiel,25,19,170,False,9,2,2023,2023-W9,2023-M2
42,2119435,2023-01-06 14:39:32.616685,2023-01-06 14:39:32.616685,Marwa,Marwa,False,,2023-01-06 14:39:32.616685,2023-01-06 14:39:32.616685,Marwa,15,105,2023-03-01,1,10.72,4466,officiel,25,19,170,False,9,3,2023,2023-W9,2023-M3
43,2119436,2023-01-06 14:39:32.716564,2023-01-06 14:39:32.716564,Marwa,Marwa,False,,2023-01-06 14:39:32.716564,2023-01-06 14:39:32.716564,Marwa,15,105,2023-03-02,1,10.72,4467,officiel,25,19,170,False,9,3,2023,2023-W9,2023-M3
44,2119437,2023-01-06 14:39:32.836611,2023-01-06 14:39:32.836611,Marwa,Marwa,False,,2023-01-06 14:39:32.836611,2023-01-06 14:39:32.836611,Marwa,15,105,2023-03-03,1,10.72,4468,officiel,25,19,170,False,9,3,2023,2023-W9,2023-M3
45,2119438,2023-01-06 14:40:54.606326,2023-01-06 14:40:54.606326,Marwa,Marwa,False,,2023-01-06 14:40:54.606326,2023-01-06 14:40:54.606326,Marwa,15,105,2023-03-06,1,10.72,4469,officiel,25,19,170,False,10,3,2023,2023-W10,2023-M3
46,2119439,2023-01-06 14:40:54.651187,2023-01-06 14:40:54.651187,Marwa,Marwa,False,,2023-01-06 14:40:54.651187,2023-01-06 14:40:54.651187,Marwa,15,105,2023-03-07,1,10.72,4470,officiel,25,19,170,False,10,3,2023,2023-W10,2023-M3
47,2119440,2023-01-06 14:40:54.676554,2023-01-06 14:40:54.676554,Marwa,Marwa,False,,2023-01-06 14:40:54.676554,2023-01-06 14:40:54.676554,Marwa,15,105,2023-03-08,1,10.72,4471,officiel,25,19,170,False,10,3,2023,2023-W10,2023-M3
48,2119441,2023-01-06 14:40:54.696214,2023-01-06 14:40:54.696214,Marwa,Marwa,False,,2023-01-06 14:40:54.696214,2023-01-06 14:40:54.696214,Marwa,15,105,2023-03-09,1,10.72,4472,officiel,25,19,170,False,10,3,2023,2023-W10,2023-M3
49,2119442,2023-01-06 14:40:54.731742,2023-01-06 14:40:54.731742,Marwa,Marwa,False,,2023-01-06 14:40:54.731742,2023-01-06 14:40:54.731742,Marwa,15,105,2023-03-10,1,10.72,4473,officiel,25,19,170,False,10,3,2023,2023-W10,2023-M3
50,2119443,2023-01-06 14:42:01.956311,2023-01-06 14:42:01.956311,Marwa,Marwa,False,,2023-01-06 14:42:01.956311,2023-01-06 14:42:01.956311,Marwa,15,105,2023-03-13,1,10.72,4474,officiel,25,19,170,False,11,3,2023,2023-W11,2023-M3
51,2119444,2023-01-06 14:42:01.985975,2023-01-06 14:42:01.985975,Marwa,Marwa,False,,2023-01-06 14:42:01.985975,2023-01-06 14:42:01.985975,Marwa,15,105,2023-03-14,1,10.72,4475,officiel,25,19,170,False,11,3,2023,2023-W11,2023-M3
52,2119445,2023-01-06 14:42:02.011251,2023-01-06 14:42:02.011251,Marwa,Marwa,False,,2023-01-06 14:42:02.011251,2023-01-06 14:42:02.011251,Marwa,15,105,2023-03-15,1,10.72,4476,officiel,25,19,170,False,11,3,2023,2023-W11,2023-M3
53,2119446,2023-01-06 14:42:02.036164,2023-01-06 14:42:02.036164,Marwa,Marwa,False,,2023-01-06 14:42:02.036164,2023-01-06 14:42:02.036164,Marwa,15,105,2023-03-16,1,10.72,4477,officiel,25,19,170,False,11,3,2023,2023-W11,2023-M3
54,2119447,2023-01-06 14:42:02.066388,2023-01-06 14:42:02.066388,Marwa,Marwa,False,,2023-01-06 14:42:02.066388,2023-01-06 14:42:02.066388,Marwa,15,105,2023-03-17,1,10.72,4478,officiel,25,19,170,False,11,3,2023,2023-W11,2023-M3
55,2119448,2023-01-06 14:43:11.581956,2023-01-06 14:43:11.581956,Marwa,Marwa,False,,2023-01-06 14:43:11.581956,2023-01-06 14:43:11.581956,Marwa,15,105,2023-03-21,1,10.72,4479,officiel,25,19,170,False,12,3,2023,2023-W12,2023-M3
56,2119449,2023-01-06 14:43:11.611947,2023-01-06 14:43:11.611947,Marwa,Marwa,False,,2023-01-06 14:43:11.611947,2023-01-06 14:43:11.611947,Marwa,15,105,2023-03-22,1,10.72,4480,officiel,25,19,170,False,12,3,2023,2023-W12,2023-M3
57,2119450,2023-01-06 14:43:11.636822,2023-01-06 14:43:11.636822,Marwa,Marwa,False,,2023-01-06 14:43:11.636822,2023-01-06 14:43:11.636822,Marwa,15,105,2023-03-23,1,10.72,4481,officiel,25,19,170,False,12,3,2023,2023-W12,2023-M3
58,2119451,2023-01-06 14:43:11.661930,2023-01-06 14:43:11.661930,Marwa,Marwa,False,,2023-01-06 14:43:11.661930,2023-01-06 14:43:11.661930,Marwa,15,105,2023-03-24,1,10.72,4482,officiel,25,19,170,False,12,3,2023,2023-W12,2023-M3
59,2119452,2023-01-06 14:44:07.481888,2023-01-06 14:44:07.481888,Marwa,Marwa,False,,2023-01-06 14:44:07.481888,2023-01-06 14:44:07.481888,Marwa,15,105,2023-03-27,1,10.72,4483,officiel,25,19,170,False,13,3,2023,2023-W13,2023-M3
60,2119453,2023-01-06 14:44:07.511604,2023-01-06 14:44:07.511604,Marwa,Marwa,False,,2023-01-06 14:44:07.511604,2023-01-06 14:44:07.511604,Marwa,15,105,2023-03-28,1,10.72,4484,officiel,25,19,170,False,13,3,2023,2023-W13,2023-M3
61,2119454,2023-01-06 14:44:07.536692,2023-01-06 14:44:07.536692,Marwa,Marwa,False,,2023-01-06 14:44:07.536692,2023-01-06 14:44:07.536692,Marwa,15,105,2023-03-29,1,10.72,4485,officiel,25,19,170,False,13,3,2023,2023-W13,2023-M3
62,2119455,2023-01-06 14:44:07.561736,2023-01-06 14:44:07.561736,Marwa,Marwa,False,,2023-01-06 14:44:07.561736,2023-01-06 14:44:07.561736,Marwa,15,105,2023-03-30,1,10.72,4486,officiel,25,19,170,False,13,3,2023,2023-W13,2023-M3
63,2119456,2023-01-06 14:44:07.581680,2023-01-06 14:44:07.581680,Marwa,Marwa,False,,2023-01-06 14:44:07.581680,2023-01-06 14:44:07.581680,Marwa,15,105,2023-03-31,1,10.72,4487,officiel,25,19,170,False,13,3,2023,2023-W13,2023-M3
64,2119457,2023-01-06 14:46:36.231577,2023-01-06 14:46:36.231577,Marwa,Marwa,False,,2023-01-06 14:46:36.231577,2023-01-06 14:46:36.231577,Marwa,15,105,2023-04-03,1,10.72,4493,officiel,25,19,170,False,14,4,2023,2023-W14,2023-M4
65,2119458,2023-01-06 14:46:36.261356,2023-01-06 14:46:36.261356,Marwa,Marwa,False,,2023-01-06 14:46:36.261356,2023-01-06 14:46:36.261356,Marwa,15,105,2023-04-04,1,10.72,4494,officiel,25,19,170,False,14,4,2023,2023-W14,2023-M4
66,2119459,2023-01-06 14:46:36.281346,2023-01-06 14:46:36.281346,Marwa,Marwa,False,,2023-01-06 14:46:36.281346,2023-01-06 14:46:36.281346,Marwa,15,105,2023-04-05,1,10.72,4495,officiel,25,19,170,False,14,4,2023,2023-W14,2023-M4
67,2119460,2023-01-06 14:46:36.311286,2023-01-06 14:46:36.311286,Marwa,Marwa,False,,2023-01-06 14:46:36.311286,2023-01-06 14:46:36.311286,Marwa,15,105,2023-04-06,1,10.72,4496,officiel,25,19,170,False,14,4,2023,2023-W14,2023-M4
68,2119461,2023-01-06 14:46:36.341536,2023-01-06 14:46:36.341536,Marwa,Marwa,False,,2023-01-06 14:46:36.341536,2023-01-06 14:46:36.341536,Marwa,15,105,2023-04-07,1,10.72,4497,officiel,25,19,170,False,14,4,2023,2023-W14,2023-M4
69,2119462,2023-01-06 14:47:59.181317,2023-01-06 14:47:59.181317,Marwa,Marwa,False,,2023-01-06 14:47:59.181317,2023-01-06 14:47:59.181317,Marwa,15,105,2023-04-10,1,10.72,4498,officiel,25,19,170,False,15,4,2023,2023-W15,2023-M4
70,2119463,2023-01-06 14:47:59.201017,2023-01-06 14:47:59.201017,Marwa,Marwa,False,,2023-01-06 14:47:59.201017,2023-01-06 14:47:59.201017,Marwa,15,105,2023-04-11,1,10.72,4499,officiel,25,19,170,False,15,4,2023,2023-W15,2023-M4
71,2119464,2023-01-06 14:47:59.231453,2023-01-06 14:47:59.231453,Marwa,Marwa,False,,2023-01-06 14:47:59.231453,2023-01-06 14:47:59.231453,Marwa,15,105,2023-04-12,1,10.72,4500,officiel,25,19,170,False,15,4,2023,2023-W15,2023-M4
72,2119465,2023-01-06 14:47:59.251384,2023-01-06 14:47:59.251384,Marwa,Marwa,False,,2023-01-06 14:47:59.251384,2023-01-06 14:47:59.251384,Marwa,15,105,2023-04-13,1,10.72,4501,officiel,25,19,170,False,15,4,2023,2023-W15,2023-M4
73,2119466,2023-01-06 14:47:59.281090,2023-01-06 14:47:59.281090,Marwa,Marwa,False,,2023-01-06 14:47:59.281090,2023-01-06 14:47:59.281090,Marwa,15,105,2023-04-14,1,10.72,4502,officiel,25,19,170,False,15,4,2023,2023-W15,2023-M4
74,2119467,2023-01-06 14:49:39.240726,2023-01-06 14:49:39.240726,Marwa,Marwa,False,,2023-01-06 14:49:39.240726,2023-01-06 14:49:39.240726,Marwa,15,105,2023-04-17,1,10.72,4506,officiel,25,19,170,False,16,4,2023,2023-W16,2023-M4
75,2119468,2023-01-06 14:49:39.280713,2023-01-06 14:49:39.280713,Marwa,Marwa,False,,2023-01-06 14:49:39.280713,2023-01-06 14:49:39.280713,Marwa,15,105,2023-04-18,1,10.72,4507,officiel,25,19,170,False,16,4,2023,2023-W16,2023-M4
76,2119469,2023-01-06 14:49:39.312646,2023-01-06 14:49:39.312646,Marwa,Marwa,False,,2023-01-06 14:49:39.312646,2023-01-06 14:49:39.312646,Marwa,15,105,2023-04-19,1,10.72,4508,officiel,25,19,170,False,16,4,2023,2023-W16,2023-M4
77,2119470,2023-01-06 14:50:30.900857,2023-01-06 14:50:30.900857,Marwa,Marwa,False,,2023-01-06 14:50:30.900857,2023-01-06 14:50:30.900857,Marwa,15,105,2023-04-24,1,10.72,4509,officiel,25,19,170,False,17,4,2023,2023-W17,2023-M4
78,2119471,2023-01-06 14:50:30.920800,2023-01-06 14:50:30.920800,Marwa,Marwa,False,,2023-01-06 14:50:30.920800,2023-01-06 14:50:30.920800,Marwa,15,105,2023-04-25,1,10.72,4510,officiel,25,19,170,False,17,4,2023,2023-W17,2023-M4
79,2119472,2023-01-06 14:50:30.950659,2023-01-06 14:50:30.950659,Marwa,Marwa,False,,2023-01-06 14:50:30.950659,2023-01-06 14:50:30.950659,Marwa,15,105,2023-04-26,1,10.72,4511,officiel,25,19,170,False,17,4,2023,2023-W17,2023-M4
80,2119473,2023-01-06 14:50:30.980634,2023-01-06 14:50:30.980634,Marwa,Marwa,False,,2023-01-06 14:50:30.980634,2023-01-06 14:50:30.980634,Marwa,15,105,2023-04-27,1,10.72,4512,officiel,25,19,170,False,17,4,2023,2023-W17,2023-M4
81,2119474,2023-01-06 14:50:31.005642,2023-01-06 14:50:31.005642,Marwa,Marwa,False,,2023-01-06 14:50:31.005642,2023-01-06 14:50:31.005642,Marwa,15,105,2023-04-28,1,10.72,4513,officiel,25,19,170,False,17,4,2023,2023-W17,2023-M4
82,2119475,2023-01-06 14:52:10.210422,2023-01-06 14:52:10.210422,Marwa,Marwa,False,,2023-01-06 14:52:10.210422,2023-01-06 14:52:10.210422,Marwa,15,105,2023-05-02,1,10.72,4518,officiel,25,19,170,False,18,5,2023,2023-W18,2023-M5
83,2119476,2023-01-06 14:52:10.240467,2023-01-06 14:52:10.240467,Marwa,Marwa,False,,2023-01-06 14:52:10.240467,2023-01-06 14:52:10.240467,Marwa,15,105,2023-05-03,1,10.72,4519,officiel,25,19,170,False,18,5,2023,2023-W18,2023-M5
84,2119477,2023-01-06 14:52:10.270763,2023-01-06 14:52:10.270763,Marwa,Marwa,False,,2023-01-06 14:52:10.270763,2023-01-06 14:52:10.270763,Marwa,15,105,2023-05-04,1,10.72,4520,officiel,25,19,170,False,18,5,2023,2023-W18,2023-M5
85,2119478,2023-01-06 14:52:10.290464,2023-01-06 14:52:10.290464,Marwa,Marwa,False,,2023-01-06 14:52:10.290464,2023-01-06 14:52:10.290464,Marwa,15,105,2023-05-05,1,10.72,4521,officiel,25,19,170,False,18,5,2023,2023-W18,2023-M5
86,2119479,2023-01-06 14:53:12.820291,2023-01-06 14:53:12.820291,Marwa,Marwa,False,,2023-01-06 14:53:12.820291,2023-01-06 14:53:12.820291,Marwa,15,105,2023-05-08,1,10.72,4522,officiel,25,19,170,False,19,5,2023,2023-W19,2023-M5
87,2119480,2023-01-06 14:53:12.850536,2023-01-06 14:53:12.850536,Marwa,Marwa,False,,2023-01-06 14:53:12.850536,2023-01-06 14:53:12.850536,Marwa,15,105,2023-05-09,1,10.72,4523,officiel,25,19,170,False,19,5,2023,2023-W19,2023-M5
88,2119481,2023-01-06 14:53:12.870590,2023-01-06 14:53:12.870590,Marwa,Marwa,False,,2023-01-06 14:53:12.870590,2023-01-06 14:53:12.870590,Marwa,15,105,2023-05-10,1,10.72,4524,officiel,25,19,170,False,19,5,2023,2023-W19,2023-M5
89,2119482,2023-01-06 14:53:12.900578,2023-01-06 14:53:12.900578,Marwa,Marwa,False,,2023-01-06 14:53:12.900578,2023-01-06 14:53:12.900578,Marwa,15,105,2023-05-11,1,10.72,4525,officiel,25,19,170,False,19,5,2023,2023-W19,2023-M5
90,2119483,2023-01-06 14:53:12.925180,2023-01-06 14:53:12.925180,Marwa,Marwa,False,,2023-01-06 14:53:12.925180,2023-01-06 14:53:12.925180,Marwa,15,105,2023-05-12,1,10.72,4526,officiel,25,19,170,False,19,5,2023,2023-W19,2023-M5
91,2119484,2023-01-06 14:54:36.203301,2023-01-06 14:54:36.203301,Marwa,Marwa,False,,2023-01-06 14:54:36.203301,2023-01-06 14:54:36.203301,Marwa,15,105,2023-05-15,1,10.72,4527,officiel,25,19,170,False,20,5,2023,2023-W20,2023-M5
92,2119485,2023-01-06 14:54:36.233436,2023-01-06 14:54:36.233436,Marwa,Marwa,False,,2023-01-06 14:54:36.233436,2023-01-06 14:54:36.233436,Marwa,15,105,2023-05-16,1,10.72,4528,officiel,25,19,170,False,20,5,2023,2023-W20,2023-M5
93,2119486,2023-01-06 14:54:36.258221,2023-01-06 14:54:36.258221,Marwa,Marwa,False,,2023-01-06 14:54:36.258221,2023-01-06 14:54:36.258221,Marwa,15,105,2023-05-17,1,10.72,4529,officiel,25,19,170,False,20,5,2023,2023-W20,2023-M5
94,2119487,2023-01-06 14:54:36.283526,2023-01-06 14:54:36.283526,Marwa,Marwa,False,,2023-01-06 14:54:36.283526,2023-01-06 14:54:36.283526,Marwa,15,105,2023-05-18,1,10.72,4530,officiel,25,19,170,False,20,5,2023,2023-W20,2023-M5
95,2119488,2023-01-06 14:54:36.303490,2023-01-06 14:54:36.303490,Marwa,Marwa,False,,2023-01-06 14:54:36.303490,2023-01-06 14:54:36.303490,Marwa,15,105,2023-05-19,1,10.72,4531,officiel,25,19,170,False,20,5,2023,2023-W20,2023-M5
96,2119489,2023-01-06 14:56:22.233112,2023-01-06 14:56:22.233112,Marwa,Marwa,False,,2023-01-06 14:56:22.233112,2023-01-06 14:56:22.233112,Marwa,15,105,2023-05-22,1,10.72,4537,officiel,25,19,170,False,21,5,2023,2023-W21,2023-M5
