,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
41,6133,2022-09-27 23:10:08.554453,2022-12-05 08:49:58.629184,Marwa,Marwa,False,,2022-09-27 23:10:08.554453,2022-12-05 08:49:58.629184,Marwa,9,105,2022-12-02,1,11.2,3605,officiel,16,,
42,6014,2022-09-27 22:05:14.267087,2022-12-12 15:30:00.861922,Marwa,Marwa,False,,2022-09-27 22:05:14.267087,2022-12-12 15:30:00.861922,Marwa,9,105,2022-09-05,1,10.4,3484,officiel,16,,
43,6113,2022-09-27 23:06:47.929955,2022-12-22 11:31:56.876255,Marwa,Marwa,False,,2022-09-27 23:06:47.929955,2022-12-22 11:31:56.876255,Marwa,9,105,2022-10-31,1,2.0,3585,officiel,16,,
44,6114,2022-09-27 23:07:24.213643,2022-12-22 11:31:56.915230,Marwa,Marwa,False,,2022-09-27 23:07:24.213643,2022-12-22 11:31:56.915230,Marwa,9,105,2022-11-07,1,2.0,3586,officiel,16,,
45,6129,2022-09-27 23:09:38.178864,2022-12-05 08:49:58.631187,Marwa,Marwa,False,,2022-09-27 23:09:38.178864,2022-12-05 08:49:58.631187,Marwa,9,105,2022-11-28,1,11.2,3601,officiel,16,,
46,6007,2022-09-27 21:59:19.730892,2022-12-12 15:30:00.776868,Marwa,Marwa,False,,2022-09-27 21:59:19.730892,2022-12-12 15:30:00.776868,Marwa,9,105,2022-08-25,1,10.4,3477,officiel,16,,
47,6015,2022-09-27 22:05:14.291028,2022-12-12 15:30:00.861922,Marwa,Marwa,False,,2022-09-27 22:05:14.291028,2022-12-12 15:30:00.861922,Marwa,9,105,2022-09-06,1,10.4,3485,officiel,16,,
48,6016,2022-09-27 22:05:14.315078,2022-12-12 15:30:00.871953,Marwa,Marwa,False,,2022-09-27 22:05:14.315078,2022-12-12 15:30:00.871953,Marwa,9,105,2022-09-07,1,10.4,3486,officiel,16,,
49,6017,2022-09-27 22:05:14.331104,2022-12-12 15:30:00.887074,Marwa,Marwa,False,,2022-09-27 22:05:14.331104,2022-12-12 15:30:00.887074,Marwa,9,105,2022-09-08,1,10.4,3487,officiel,16,,
50,6018,2022-09-27 22:05:14.355030,2022-12-12 15:30:00.892140,Marwa,Marwa,False,,2022-09-27 22:05:14.355030,2022-12-12 15:30:00.892140,Marwa,9,105,2022-09-09,1,10.4,3488,officiel,16,,
